EnglishEasy;Global warming kg CO2;Terrestrial acidification kg SO2;Freshwater eutrophication kg P ;Marine eutrophication kg N ;Land use m2a crop;Water consumption m3;NEVO code;Food group;Food name;Energy (kJ);Energy (kcal);Protein (g);Fat (g);Fatty acids (g);Carbohydrates (g);Sugars (g);Fiber (g);Alcohol (g); Chloride (mg);Sodium (mg);Potassium (mg);Calcium (mg);Phosphorus (mg);Magnesium (mg);Iron (mg);Copper (mg);Selenium (�g);Zinc(mg);Iodine (�g);Vitamin D (�g);Vitamin E (mg);Vitamin K (�g);Vitamin B1 (mg);Vitamin B2 (mg);Vitamin B6 (mg);Vitamin B12 (�g);Vitamin B3 (mg);Vitamin B3 (mg);Vitamin C (mg)
42;0,10054415;0,000782965;7,35E-06;0,000183252;0,027778486;0,001860397;150;Fruits;Pineapple;229;54;0,5;0,1;0,1;12;11,6;1,6;0;0;0;116;12;8;15;0,2;0,1;0;0,2;;0;0,1;0,2;0,08;0,02;0,086;0;0,4;0,3;43
43;0,641216726;0,000700986;3,55E-05;0,000224407;0,043948635;0,041006909;148;Fruits;Strawberries;123;29;0,7;0;0;5,1;5,1;1,1;0;0;3;183;15;29;13;0,5;0,04;0;0,12;;0;0,4;3;0,02;0,03;0,056;0;;0,3;60
44;0,391381316;0,003401025;3,83E-05;0,000842541;0,326766916;0,059752993;257;Pastry and biscuits;Almond paste filled tarts ;1728;411;6,4;15,8;14,9;59,9;31,8;2;0;28;150;158;39;138;28;0,9;0,11;3;0,54;;0,1;2,5;;0,05;0,05;0,027;0;1,6;0,6;0
45;0,352805228;0,003272742;2,29E-05;0,000522567;0,169759921;0,006703134;2622;Pastry and biscuits;Apple pie Dutch with shortbread with butter;937;223;2,4;9,2;8,5;31,6;21;1,5;0;39;61;139;15;39;9;0,4;0,08;2;0,23;6,3;0,1;0,6;3,8;0,03;0,03;0,048;0,1;0,4;0,2;2
46;0,228554326;0,001178909;2,15E-05;0,000279935;0,188571616;0,006027945;251;Pastry and biscuits;Apple pie Dutch with shortbread without butter;943;225;3,4;9;8,5;31,6;20,9;1,5;0;21;113;94;23;63;13;1;0,07;2;0,28;6,2;0,9;1,8;2,3;0,03;0,1;0,039;0,07;0,4;0,2;2
47;0,352466405;0,001229516;3,40E-05;0,00040689;0,169756175;0,001727741;263;Pastry and biscuits;Biscuit brown/wholemeal;1928;459;7,8;14,9;14,1;70,7;21,6;5,5;0;30;338;213;30;300;64;1,8;0,25;4;1,35;3,9;0;4;;0,25;0,1;0,06;0;;2;0
48;0,272234608;0,002074266;3,31E-05;0,000613703;0,379042009;0,011124332;2232;Pastry and biscuits;Biscuit fruit;1672;396;5,5;7,1;6,6;76,3;36,7;2,6;0;5;200;379;35;125;26;1,4;0,18;5;0,3;1,9;0;2,8;;0,05;0,03;0,076;0;;0,8;0
49;0,310251579;0,001208526;3,05E-05;0,000405188;0,166048953;0,001700711;252;Pastry and biscuits;Biscuit;1840;437;7,6;11;10,5;75,5;18,6;2,5;0;1;402;411;48;180;20;1;0,08;4;0,59;1,9;0;2,4;;0,07;0,03;0,027;0;2,4;1;0
50;0,135342327;0,000807408;1,82E-05;0,000260956;0,164906334;0,003174454;240;Pastry and biscuits;Cake Dutch spiced Ontbijtkoek;1305;308;3;1,2;0,8;69,5;37,3;3,6;0;0;232;132;17;100;16;0,7;0,06;3;0,65;15;0,1;0,5;;0,03;0,03;0,012;0;1,1;0,6;0
51;0,574996274;0,007772363;4,01E-05;0,001100818;0,353706841;0,007357546;1969;Pastry and biscuits;Cake made with butter;1667;399;5,8;22,7;21;42,4;25,5;0,8;0;148;463;130;36;170;11;0,8;0,05;7;0,56;16,7;0,5;1,9;7,7;0,04;0,11;0,058;0,25;1,1;0,3;0
52;0,326631664;0,003001406;3,89E-05;0,000547066;0,397011948;0,006510616;253;Pastry and biscuits;Cake without butter;1648;394;5,7;22,4;21,1;42,2;25,3;0,8;0;92;413;86;22;87;9;0,9;0,06;6;0,57;16,3;2,3;2,7;4,2;0,04;0,1;0,058;0,38;1,1;0,3;0
53;0,386241029;0,003160954;2,54E-05;0,000606663;0,228231683;0,004058879;713;Pastry and biscuits;Waffle syrup ;1984;473;3,8;19,3;18,1;70,2;36,7;1,6;0;23;256;114;17;71;10;0,5;0,06;2;0,31;1,9;0,3;2,7;1,4;0,03;0,03;0,011;0;1;0,4;0
54;0,148242098;0,000871283;1,80E-05;0,000352045;0,18831714;0,001694606;1914;Cereals and cereal products;Dough for pizza and savoury pie unprepared;951;226;5,7;5,9;5,5;36,5;0,6;1,8;0;0;207;94;15;62;12;0,5;0,11;3;0,4;1,4;0;0,2;3,2;0,05;0,05;0,074;0;;0,7;0
55;0,088378439;0,000804622;1,68E-05;0,00035476;0,142130368;0,000964153;220;Cereals and cereal products;Flour wheat white;1423;335;10,4;1,2;0,8;69;1,1;3,2;0;0;1;156;23;103;20;0,8;0,14;5;0,64;1,9;0;0,4;0,8;0,07;0,04;0,12;0;;1;0
56;0,170963775;0,00102759;2,47E-05;0,000399835;0,331860047;0,005759267;2366;Cereals and cereal products;Muesli crunchy plain/w fruit;1841;438;8,3;14,8;13,9;64,6;24;6,7;0;0;20;336;39;332;85;3,1;0,26;;2;0,9;0;3,2;;0,25;0,05;0,054;0;3,3;1,5;0
57;0,105399671;0,000868197;2,21E-05;0,000303182;0,241824049;0,002142279;213;Cereals and cereal products;Oatmeal;1575;373;12,8;7,3;6,8;60,7;2;7,3;0;0;7;300;70;380;117;4;0,2;7;3,02;0,5;0;1,6;;0,6;0,05;0,12;0;;1;0
58;0,227731141;0,002493824;1,57E-05;0,000442236;0,184832707;0,002597921;467;Cereals and cereal products;Pancake homemade prepared with margarin;856;203;8,3;5,8;5,3;29,2;4,9;0,6;0;27;217;209;106;201;21;0,8;0,06;3;0,73;11,4;0,5;1,5;1,2;0,1;0,22;0,042;0,36;1,1;0,4;0
59;0,152380667;0,000521903;8,15E-06;0,000171732;0,068080077;0,002434853;659;Cereals and cereal products;Pasta white boiled;601;142;5,1;0,9;0,6;27,7;0,7;1,4;0;0;4;48;16;74;19;0,7;0,12;1;0,64;1;0;0,2;0,1;0,03;0,03;0,018;0;1,9;1;0
60;0,164493304;0,000846315;1,26E-05;0,000167527;0,054079771;0,015949005;1014;Cereals and cereal products;Rice brown boiled;555;131;3,1;1;0,9;26,4;0;2,1;0;0;5;37;16;105;39;0,4;0,09;9;0,81;5;0;0;0,6;0,1;0,01;0,046;0;3,4;2,6;0
61;0,178407328;0,001018559;1,35E-05;0,000181069;0,0582945;0,017170776;658;Cereals and cereal products;Rice white boiled;620;146;3,2;0,3;0,3;32,2;0;0,7;0;0;4;25;12;42;9;0,2;0,08;1;0,75;5;0;0;;0,02;0,01;0,019;0;1,4;0,6;0
62;0,268932191;0,000394141;1,99E-05;7,54E-05;0,164372844;0,00292798;59;Vegetables;Bean sprouts boiled;72;17;1,8;0,1;0,1;1,7;1,1;1,2;0;0;5;67;22;30;13;0,4;0,1;1;0,26;;0;0,1;3,3;0,05;0,05;0,018;0;;1;4
63;0,198506474;0,000304684;1,59E-05;6,03E-05;0,131500561;0,002035228;58;Vegetables;Bean sprouts raw;104;25;2,2;0,1;0,1;3,2;1,8;1,2;0;0;6;121;16;37;15;0,4;0,1;1;0,3;;0;0,1;2,7;0,06;0,07;0,019;0;;1;8
64;0,162307651;0,000882781;2,51E-05;0,000222422;0,109453261;0,00537057;954;Vegetables;Beans French frozen boiled;144;34;1,8;0,1;0,1;5,4;1,2;2,1;0;0;5;153;69;37;20;0,7;0,06;0;0,25;3;0;0,1;24;0,05;0,05;0,012;0;;0,4;5
65;0,192187813;0,001121683;2,87E-05;0,000220122;0,10778326;0,005320578;139;Vegetables;Beans French tinned;110;26;1,6;0,3;0,3;2,9;0,8;2,6;0;0;162;127;49;20;12;0,5;0,08;0;0,26;3;0;0,1;16;0,03;0,05;0,027;0;;0,4;3
67;0,105992748;0,000944631;2,85E-05;0,000256114;0,123308617;0,005588269;951;Vegetables;Beans French boiled;105;25;1,8;0,4;0,3;2,2;1,2;2,9;0;0;2;265;54;42;27;0,8;0,08;0;0,37;3;0;0,3;16;0,06;0,08;0,071;0;0,9;0,5;1
68;0,183573977;0,001835371;4,25E-05;0,00059704;0,164558684;0,009125067;920;Vegetables;Broccoli boiled;112;27;3,9;0,3;0,2;0,8;0;2,7;0;0;5;399;33;97;19;0,9;0,06;0;0,62;2;0;2,5;156;0,05;0,07;0,077;0;1,1;0,5;38
69;0,039977832;0,000305905;6,50E-06;7,63E-05;0,023688748;0,00073763;71;Vegetables;Carrot raw ;135;32;0,8;0,3;0,2;5,3;4,2;2,8;0;0;28;259;25;29;7;0,2;0,03;0;0,24;2,5;0;0,4;7,4;0,03;0,03;0,079;0;0,7;0,6;4
70;0,077840732;0,000373462;7,32E-06;8,48E-05;0,026502223;0,001345626;72;Vegetables;Carrot boiled ;134;32;0,7;0,3;0,2;5,2;4,9;2,9;0;0;26;215;28;27;7;0,2;0,04;0;0,23;2,5;0;0,8;7,4;0,03;0,02;0,069;0;0,5;0,4;3
71;0,136235405;0,001322102;3,11E-05;0,000437776;0,120615268;0,006747683;15;Vegetables;Cauliflower boiled;92;22;1,8;0,4;0,3;1,8;1,2;2,3;0;0;10;224;25;47;9;0,3;0,05;0;0,26;2,5;0;0,1;28,5;0,02;0,05;0,063;0;0,8;0,5;22
72;0,050774651;0,000456963;1,06E-05;0,000116221;0,049164206;0,003966352;67;Vegetables;Chicory raw;78;19;1,3;0,2;0,1;2,4;2,4;1,2;0;0;2;194;22;34;10;0,2;0,09;0;0,2;0,4;0;0;;0,05;0,03;0,037;0;0,4;0,2;0
73;0,088291054;0,000588072;1,33E-05;0,000145303;0,06145253;0,005362942;68;Vegetables;Chicory boiled;69;16;1,2;0,2;0,1;2;2,1;1,1;0;0;3;183;24;31;10;0,2;0,05;0;0,17;0,4;0;0,2;;0,07;0,02;0,018;0;0,3;0,2;0
74;0,263449292;0,000564261;1,82E-05;0,000150268;0,038675121;0,012451966;966;Vegetables;Courgettes boiled;79;19;1,5;0,1;0,1;2,3;2,3;1,1;0;0;1;270;20;51;22;0,5;0,01;1;0,31;2,2;0;0,1;4,2;0,05;0,05;0,095;0;;0,5;3
75;0,187776042;0,000170965;4,93E-06;9,72E-06;0,003475834;0,008955995;2739;Vegetables;Cucumber with skin raw;53;13;0,7;0,4;0,3;1,3;1,3;0,6;0;0;2;187;20;32;11;1,1;0,03;0;0,63;3;0;0,1;20,9;0,01;0,02;0,034;0;0,3;0,2;4
76;0,198399797;0,00018547;5,21E-06;1,03E-05;0,003680896;0,009454717;27;Vegetables;Cucumber without skin raw;63;15;0,6;0,2;0,2;2,5;1,7;0,3;0;0;2;145;22;25;10;0,4;0,02;0;0,22;3;0;0;2;0,01;0,01;0,026;0;0,2;0,2;1
77;0,159947743;0,001046972;2,67E-05;0,000321518;0,066387695;0,003818425;16;Vegetables;Kale curly boiled;139;33;2,7;1,3;0,9;1;0,9;3,5;0;0;6;229;231;46;13;1,1;0,03;2;0,2;2;0;2,7;817;0;0,03;0,09;0;;0,4;25
78;0,068644057;0,000543332;1,21E-05;0,000130797;0,055520103;0,004590658;2346;Vegetables;Lettuce raw;65;16;1,6;0,3;0,2;1;0,9;1,4;0;0;17;303;67;36;17;0,8;0,04;0;0,33;1,6;0;0,3;76,3;0,05;0,06;0,066;0;0,6;0,4;1
79;0,068644057;0,000543332;1,21E-05;0,000130797;0,055520103;0,004590658;46;Vegetables;Lettuce butterhead raw;52;13;1,4;0,4;0,3;0,3;0,3;1,2;0;0;8;352;49;36;15;0,7;0,04;0;0,41;2,5;0;0,2;129;0,05;0,06;0,045;0;0,6;0,3;0
80;0,520834916;0,001963516;8,89E-06;7,27E-05;0,050281256;0,005293791;20;Vegetables;Mushroom boiled;90;21;3,8;0,3;0,2;0,4;0,2;1,1;0;0;5;250;5;64;7;1;0,4;7;0,3;0,5;0;0,1;0;0,07;0,3;0,07;0;;4;1
81;0,043777039;0,000365756;1,32E-05;0,000102265;0,028169518;0,001458066;63;Vegetables;Onions raw;157;37;1,3;0,2;0,1;6,3;4,5;2,7;0;0;4;185;29;33;9;0,3;0,06;1;0,29;3;0;0,1;0,4;0,04;0,02;0,121;0;0,4;0,2;5
82;0,078199599;0,000468041;1,63E-05;0,000126279;0,034774711;0,002196186;64;Vegetables;Onions boiled;147;35;1;0,2;0,1;6,3;3;2,2;0;0;2;159;24;38;9;0,2;0,07;0;0,31;1;0;0,1;0,5;0,03;0,01;0,116;0;0,3;0,1;5
83;0,199998332;0,000863265;3,42E-05;0,000218643;0,261940347;0,003045597;136;Vegetables;Peas and carrots tinned;235;56;3,4;0,5;0,4;7;3,2;4,8;0;0;146;120;29;58;13;1;0,1;1;0,58;2;0;0,5;13,1;0,06;0,05;0,053;0;;0,5;1
85;0,11371635;0,000655974;2,34E-05;0,000117119;0,089910093;0,001930597;953;Vegetables;Peas frozen boiled;391;92;6;0;0;14,8;1;4,5;0;0;6;163;32;98;27;1,8;0,1;1;0,8;2;0;0,2;36;0,24;0,09;0,078;0;;1,6;14
86;0,222812648;0,001270616;2,65E-05;0,000345625;0,125047948;0,003772976;146;Vegetables;Spinach frozen boiled;102;24;2,3;0,4;0,3;1,7;0,9;2,4;0;0;25;339;162;44;34;1,2;0,09;0;0,83;2;0;1,7;575;0,06;0,11;0,05;0;;1,1;8
87;0,450442229;0,000263018;1,58E-05;3,46E-05;0,010049555;0,023878201;2743;Vegetables;Sweet pepper boiled;114;27;0,9;0,1;0,1;4,8;4,1;1,8;0;0;2;196;9;26;10;0,4;0,04;1;0,23;1;0;3,8;5,5;0,04;0,05;0,255;0;1;0,9;114
88;0,371030421;0,000214372;1,38E-05;3,01E-05;0,008743503;0,02040628;2742;Vegetables;Sweet pepper raw;106;25;0,8;0,1;0,1;4,2;4,2;1,9;0;0;1;273;7;30;12;0,4;0,05;0;0,3;1;0;2,8;5;0,04;0,06;0,275;0;1,1;1;140
89;0,162691699;0,000960483;1,93E-05;0,000260799;0,179022172;0,010307751;2900;Vegetables;Sweetcorn tinned;382;91;2,9;1,5;1,1;14,8;5,2;3,2;0;0;133;163;11;100;45;0,5;0,04;0;0,4;3,3;0;0,9;0,4;0,12;0,07;0,1;0;;1,7;7
91;0,251018382;0,000112614;4,98E-06;1,19E-05;0,005028239;0,013261642;2735;Vegetables;Tomato boiled;96;23;0,7;0,7;0,5;2,9;2,8;1,3;0;0;2;233;9;24;8;0,6;0,03;0;0,21;2,5;0;0,7;2,8;0,03;0,01;0,077;0;0,7;0,6;14
92;0,179164035;7,74E-05;3,88E-06;9,23E-06;0,003924733;0,010038472;2734;Vegetables;Tomato raw;106;25;0,8;0,6;0,5;3,4;3,4;1,6;0;0;2;296;8;29;9;0,3;0,03;0;0,13;2,5;0;0,6;6;0,04;0,02;0,09;0;0,9;0,8;20
93;0,631585579;0,002783529;2,94E-05;0,000369151;0,317336323;0,005293525;1496;Savoury bread spreads;Salad fish;1258;304;8,6;26,8;25,3;6,9;4,1;0,3;0;55;617;161;19;113;15;0,6;0,06;20;0,44;7,7;1;6;22,9;0,06;0,06;0,108;1,07;;2,3;1
